,gene_name
402,Grhl1
403,Sntg2
404,Hnf1b
405,Cct6b
406,Asic2
407,Rnf135
408,Slc9a3r1
409,Grin2c
410,Nt5c
411,Nup85
412,Galr2
413,Rhbdf2
414,Fam64a
415,Wscd1
416,Mxra7
417,Slc46a1
418,0610010K14Rik
419,Dhrs13
420,Nxn
421,Doc2b
422,Abcc3
423,Scrn2
424,Lrrc46
425,Nr1d1
426,Alox8
427,Aurkb
428,Ctc1
429,Adprm
430,Krt19
431,Top2a
432,Tmem101
433,Ccdc103
434,Klhl28
435,Coch
436,Ap4s1
437,Pole2
438,Spata7
439,Polr2h
440,Mbip
441,Adck1
442,Rab15
443,Pygl
444,Timm9
445,4930447C04Rik
446,Vrk1
447,Plek2
448,Arg2
449,Smoc1
450,Cdca7l
451,Efcab11
452,9030617O03Rik
453,Lgmn
454,Dcaf4
455,Coq6
456,Cyp46a1
457,Degs2
458,Cinp
459,Xrcc3
460,Mtr
461,Nedd9
462,Tbc1d7
463,Kif13a
464,Tpmt
465,Dek
466,Id4
467,Cenpp
468,Spin1
469,Eci3
470,Habp4
471,Cdk20
472,Mxd3
473,Fastkd3
474,Trpc7
475,Gkap1
476,Slc6a19
477,Slc6a19os
478,Trip13
479,Cep72
480,Spata9
481,Arsk
482,Srd5a1
483,Atg10
484,Ocln
485,Gtf2h2
486,Serf1
487,Smn1
488,Ptcd2
489,S100z
490,Elovl7
491,Depdc1b
492,Plk2
493,Dhfr
494,Cenpk
495,Rnf180
496,4930452B06Rik
497,Oit1
498,Fam107a
499,Ppap2a
500,Oxsm
501,Sftpd
502,1700011H14Rik
503,Sh3bp5
504,Arhgef3
505,Phf7
506,Prkcd
507,Pinx1
508,Lats2
509,Ska3
510,Mipep
511,Cpb2
512,Slc25a30
513,Mtrf1
514,Olfm4
515,Esco2
516,Ephx2
517,Nefm
518,Bora
519,Bin3
520,Sorbs3
521,Ppp3cc
522,Dmtn
523,Gfra2
524,Med4
525,Uchl3
526,Scel
527,Cln5
528,Dct
529,Rem2
530,Haus4
531,C6
532,Fbxo4
533,Cmbl
534,Ropn1l
535,Fam134b
536,Dpys
537,Shcbp1
538,Matn2
539,Stk3
540,Sybu
541,Myc
542,Wdyhv1
543,Atad2
544,Mtbp
545,Gtse1
546,Trmu
547,Dnal4
548,Dscc1
549,Cby1
550,Fam118a
551,Sh3bp1
