,gene_name
1666,Wdr20
1667,Fam101a
1668,6430571L13Rik
1669,Igsf9
1670,2700029M09Rik
1671,Rnmtl1
1672,Haus6
1673,Fkbp14
1674,Tmem237
1675,AW551984
1676,Cd84
1677,5033430I15Rik
1678,Spon1
1679,Cer1
1680,Cep44
1681,Tlcd2
1682,Ncapd2
1683,Snx10
1684,1700066M21Rik
1685,Sesn1
1686,Plcl1
1687,Arl5c
1688,Ankrd35
1689,Fbxo25
1690,Ttk
1691,Rras
1692,Higd1a
1693,Hdhd3
1694,Spsb2
1695,Dennd2a
1696,Olfml2b
1697,Nos1ap
1698,Gdf15
1699,Rpf2
1700,AI317395
1701,C1rl
1702,Rgs4
1703,BC028528
1704,Ciart
1705,Reep2
1706,Sct
1707,Rassf7
1708,Pold1
1709,Josd2
1710,Dsel
1711,Mboat1
1712,Ephx1
1713,Stap2
1714,Lefty1
1715,Gcnt1
1716,Baiap2l1
1717,Ccdc68
1718,3930402G23Rik
1719,Rccd1
1720,Prc1
1721,Slco4a1
1722,Bloc1s5
1723,1700019L03Rik
1724,Arhgap18
1725,Tasp1
1726,Eme1
1727,Echdc3
1728,L3mbtl3
1729,Wdr93
1730,Gipc2
1731,Akna
1732,Naif1
1733,Nubp2
1734,Fanci
1735,Tbc1d25
1736,Suv39h1
1737,Lgi2
1738,Pomt1
1739,BC017643
1740,Mettl22
1741,Exosc2
1742,Wdr45
1743,Dusp10
1744,Neil3
1745,Dcxr
1746,Nrtn
1747,Cdnf
1748,Dse
1749,Cyp7b1
1750,Mmd2
1751,Ncam1
1752,Ttc18
1753,Ppp1r3fos
1754,2210406O10Rik
1755,Ccdc151
1756,Lonrf1
1757,Zfp189
1758,Vasn
1759,Ccbl1
1760,Dusp26
1761,Oxld1
1762,Capsl
1763,Mrps6
1764,Msantd3
1765,Wdr34
1766,Htatip2
1767,Exo1
1768,Alkbh4
1769,Galnt12
1770,Cercam
1771,Tbc1d2
1772,Myl6b
1773,Neurl2
1774,Slc39a5
1775,Lrrc17
1776,Tmem120a
1777,Alg14
1778,Txlnb
1779,Fgl2
1780,Slc26a11
1781,Cited2
1782,Spsb1
1783,Mettl20
1784,Rhou
1785,Ccdc40
1786,Ccdc67
1787,Fam60a
1788,Ptger3
1789,Nup43
1790,Bub1b
1791,Bmf
1792,Ppapdc2
1793,Tax1bp3
1794,Fmo2
1795,Alkbh3
1796,Fmo1
1797,Ankrd6
1798,Arntl2
1799,2810417H13Rik
1800,Gas8
1801,Syngr4
1802,Tbc1d10c
1803,Accs
1804,Cdk6
1805,BC052040
1806,Nsmce4a
1807,Lyrm5
1808,Plekha4
1809,Blvrb
1810,Xaf1
1811,Pvr
1812,Cblc
1813,Abhd11
1814,Wbscr27
1815,Gstm2
1816,Mis12
1817,Apobec1
1818,Gemin8
1819,Aicda
1820,Dok4
1821,Ppp1r14c
1822,Dnph1
1823,Efhd2
1824,Sh3bgr
1825,Apobec2
1826,Limd2
1827,Cyp2s1
1828,A930016O22Rik
1829,Siah1b
1830,Snrnp25
1831,Agbl2
1832,Catsperd
1833,4930579G18Rik
1834,Osbpl10
1835,Foxa3
1836,Atp1a3
1837,4930505A04Rik
1838,Slc16a11
1839,Cables1
1840,Slc22a2
1841,Igsf21
1842,Gm11992
1843,Mill2
1844,Trim62
1845,Cmtm8
1846,Mslnl
1847,Rwdd2b
1848,Pde9a
1849,Nbl1
1850,N4bp2l1
1851,Chrnb1
1852,Pla2g2d
1853,Arhgap11a
1854,Wnk3
1855,Car8
1856,Thoc6
1857,Inhba
1858,Wrap53
1859,Mettl18
1860,Nthl1
1861,Ccnb1
1862,Cacna2d4
1863,Rrp9
1864,Hspb8
1865,Fbxo2
1866,Tmtc4
1867,5730559C18Rik
1868,Ccdc74a
1869,D11Wsu47e
1870,Kctd12b
1871,Slc39a11
1872,Rims1
1873,BC006965
1874,Lrrc29
1875,Gpr155
1876,Tram2
1877,Phlda3
1878,Efhc1
1879,Sytl3
1880,Haus1
1881,Mcm3
1882,Shisa4
1883,Tnfrsf18
1884,Pkp2
1885,Elmod1
1886,Zbed3
1887,Ncapg2
1888,Zfp239
1889,Kank3
1890,Csdc2
1891,Klhdc8a
1892,Dzip1
1893,Pnliprp1
1894,Abhd14a
1895,Zfand4
1896,Bag2
1897,Lyn
1898,Fam92b
1899,Nxt2
1900,Pelo
1901,Tnfrsf14
1902,Ctf1
1903,Snx18
1904,Slc5a10
1905,Smim12
1906,Dctpp1
1907,Clspn
1908,Mum1l1
1909,Map2k3os
1910,Asb4
1911,Xkr7
1912,Gucy2c
1913,Fam159b
1914,Arrdc4
1915,Wdr55
1916,Garem
1917,Npl
1918,Obfc1
1919,Commd10
1920,Wdr74
1921,Ttc9
1922,Tmem108
1923,Mrap2
1924,Hebp1
1925,Muc1
1926,Gpx2
1927,Mcts2
1928,Fgf11
1929,Sbk1
1930,Loh12cr1
1931,Tmem194b
1932,Wdr63
1933,Il17re
1934,Tuba1c
1935,Tmem186
1936,Ispd
1937,Tmem212
1938,Kcnj6
1939,Rhbdl2
1940,6530409C15Rik
1941,Hexim2
1942,Otud1
1943,Chd3os
1944,Hilpda
1945,Acot6
1946,Hscb
1947,Rai2
1948,Unc5cl
1949,0610009L18Rik
1950,Pld6
1951,Tmem221
1952,Diras1
1953,1190005I06Rik
1954,Dmrta1
1955,1700048O20Rik
1956,Ccdc64b
1957,Nup62
1958,Ccdc60
1959,Ccrl2
1960,Gpr75
1961,Pcdhb21
1962,Slc35g1
1963,Als2cl
1964,Pcdhb14
1965,Efcab9
1966,Zfp85os
1967,Proca1
1968,9530080O11Rik
1969,Fam109a
1970,Nkrf
1971,Wfikkn2
1972,Cdc25c
1973,Nxpe4
1974,Il20rb
1975,Zfp879
1976,Neurog3
1977,1700001O22Rik
1978,Slc25a53
1979,Snhg11
1980,Ccdc89
1981,Slc16a13
1982,Tigd3
1983,Tnfaip8l1
1984,Lincpint
1985,Hs3st5
1986,Zfp758
1987,Lingo4
1988,Tram1l1
1989,Dact1
1990,Tex38
1991,Gm4922
1992,Liph
1993,Cnrip1
1994,Palb2
1995,Erich5
1996,Serpinb1a
1997,Hjurp
1998,Zfp354c
1999,Ankrd45
2000,1700056E22Rik
2001,Coa4
2002,4930503L19Rik
2003,Syt16
2004,1700029I15Rik
2005,Zfp367
2006,BC030307
2007,Ubtd2
2008,Kctd21
2009,Tst
2010,1110034G24Rik
2011,9030612E09Rik
2012,Slc25a26
2013,Gm5514
2014,Pigw
2015,AI467606
2016,1110012L19Rik
2017,Cenph
2018,Lca5l
2019,Tmem86b
2020,Ush1g
2021,Fahd1
2022,Proser2
2023,6330549D23Rik
2024,Cenpe
2025,9530056K15Rik
2026,Nyap1
2027,Sh2d5
2028,Tnfrsf26
2029,Tmem88
2030,Kcnk13
2031,Gprin3
2032,2810002D19Rik
2033,Ttll13
2034,Hcar2
2035,A930002H24Rik
2036,BC049730
2037,Glb1
2038,Pid1
2039,Smtnl2
2040,Pqlc3
2041,Adrb2
2042,Mms22l
2043,Fam179a
2044,Basp1
2045,Slc16a5
2046,Zswim3
2047,Cradd
2048,4933415A04Rik
2049,Npas4
2050,4933440M02Rik
2051,BC049762
2052,Zfp830
2053,Stard5
2054,Otulin
2055,E2f8
2056,Pcdhb20
2057,Pnma2
2058,Rprml
2059,1600029I14Rik
2060,Ankle1
2061,AI464131
2062,Zfp322a
2063,Pcdhb17
2064,Rbp1
2065,1700067K01Rik
2066,Lrrc75a
2067,Kctd4
2068,Fam43a
2069,Spin2c
2070,Ccdc147
2071,Lrrc8e
2072,Ticrr
2073,Tifa
2074,Bst2
2075,Kctd11
2076,Gprc5a
2077,Fat4
2078,Gchfr
2079,Ddit4l
2080,Fam187b
2081,Gpr1
2082,Tefm
2083,Slc26a1
2084,Spsb4
2085,Zfp41
2086,Zfp445
2087,Nipa1
2088,D030056L22Rik
2089,Fam221a
2090,Ankdd1b
2091,Ticam1
2092,Chst9
2093,Tigd5
2094,Gjd3
2095,Ccdc36
2096,Cldn2
2097,Hist1h2be
2098,Zfp358
2099,Sfn
2100,Zfp286
2101,Cstad
2102,Abhd17b
2103,Zfp768
2104,B3gnt1
2105,Gpr68
2106,8030462N17Rik
2107,Mroh7
2108,Mis18bp1
2109,Lxn
2110,Apof
2111,Nr1h4
2112,Krt83
2113,D930020B18Rik
2114,Msl3l2
2115,Ust
2116,Ubiad1
2117,Fancb
2118,Phf13
2119,Gm6484
2120,Cdca4
2121,Gimap6
2122,Rell1
2123,Pcdhb16
2124,Stbd1
2125,Ino80c
2126,C2cd4a
2127,Catsper4
2128,Tmem229a
2129,Eno4
2130,Pirt
2131,4632415L05Rik
2132,Tmem81
2133,Bend7
2134,Efcab4a
2135,Rnf149
2136,Gng7
2137,Frmd6
2138,Ckap2l
2139,Mfsd6l
2140,Pcdhb18
2141,Arxes1
2142,F2r
2143,Mlf1
2144,Smim5
2145,Fam212b
2146,Spata33
2147,Bdnf
2148,Zdhhc22
2149,Gm7461
2150,Zbtb8b
2151,8430408G22Rik
2152,Tyw5
2153,Igf2
2154,Ctxn1
2155,Tpcn2
2156,Mex3d
2157,Tbc1d12
2158,Zfp454
2159,Mcat
2160,Tmem53
2161,Pthlh
2162,Lonrf2
2163,4930539E08Rik
2164,Efna5
2165,Cdca2
2166,Ccdc125
2167,Yjefn3
2168,Nrsn1
2169,Tmem121
2170,Mterfd3
2171,Purg
2172,Scn3b
2173,Mblac1
2174,Fut4
2175,Zfp2
2176,Gm5105
2177,Fam58b
2178,Hist1h1a
2179,Tmie
2180,Orai1
2181,Fam109b
2182,Gal3st1
2183,Lrrc19
2184,Arl4c
2185,2810025M15Rik
2186,Vcpkmt
2187,Tmem17
2188,Rasl11b
2189,2610318N02Rik
2190,Rpp38
2191,Plekhf2
2192,Rap2c
2193,Fhl4
2194,Tdrp
2195,Gpr171
2196,Agmo
2197,Gsg2
2198,Lsm10
2199,Scd4
2200,Il17d
2201,Tmem220
2202,Synpo2
2203,Ndufaf6
2204,Sept6
2205,Armcx6
2206,Tcf19
2207,B230217C12Rik
2208,5730508B09Rik
2209,3110021A11Rik
2210,Zfp61
2211,Ubald2
2212,Ccdc96
2213,Arhgap42
2214,Gp1bb
2215,Ccdc126
2216,Slc29a4
2217,Zfp623
2218,Tmem125
2219,Tvp23a
2220,Ankrd37
2221,Hist2h2bb
2222,Insl6
2223,Creg2
2224,4930412M03Rik
2225,Zfp455
2226,Gprc5c
2227,Lingo3
2228,4930579K19Rik
2229,Nat2
2230,Rpusd3
2231,Zfp524
2232,Gpr119
2233,Ercc6l
2234,Gen1
2235,Zfp52
2236,Rab11fip5
2237,Spryd4
2238,Ppapdc3
2239,Kif18b
2240,Flrt3
2241,Bbs12
2242,Zfp786
2243,Ufsp1
2244,Siglech
2245,Arhgef39
2246,Usp29
2247,Pusl1
2248,Rap2a
2249,Hist1h1e
2250,Kcnf1
2251,Rinl
2252,Cox6b2
2253,Mest
2254,Klhdc1
2255,Spats2
2256,Xkr4
2257,Smim11
2258,Rasal3
2259,Ppap2c
2260,Gm14964
2261,B630019K06Rik
2262,Actn2
2263,Nrros
2264,Zfp961
2265,A330008L17Rik
2266,Spdya
2267,Magi3
2268,Gan
2269,Hist1h1d
2270,Serp2
2271,Isoc2b
2272,Ccdc79
2273,5830454E08Rik
2274,Zfp112
2275,Nup107
2276,Rnf157
2277,Gas1
2278,Sv2b
2279,Jam2
2280,9230110C19Rik
2281,Fank1
2282,Socs3
2283,Gm5129
2284,Gpr21
2285,Gm609
2286,Styx
2287,Dand5
2288,D10Jhu81e
2289,Gm9905
2290,Phgdh
2291,Hunk
2292,4930597O21Rik
2293,6430503K07Rik
2294,3110082I17Rik
2295,Zfp472
2296,Tgm5
2297,Dpep2
2298,Tmem39b
2299,Ptrh1
2300,1700016K19Rik
2301,Exoc6
2302,Gm12474
2303,Lgals4
2304,Zfp14
2305,Tmem179
2306,Skida1
2307,Skp2
2308,Ceacam10
2309,Gm9938
2310,A930012O16Rik
2311,Klf1
2312,Cthrc1
2313,Gzmm
2314,Fra10ac1
2315,Fgfr3
2316,Kcnn4
2317,Pnma1
2318,Cklf
2319,Cpa1
2320,9430021M05Rik
2321,Thnsl2
2322,Tmem62
2323,Sh3bp2
2324,Gm4876
2325,Gm9949
2326,Mgmt
2327,D730045B01Rik
2328,Zfp869
2329,Ano9
2330,Srsf12
2331,Ap1s3
2332,Zscan22
2333,Lrrc8c
2334,Msra
2335,Elp6
2336,6330419J24Rik
2337,Tmem158
2338,Atp5s
2339,Wbscr25
2340,Gm9958
2341,Zfp647
2342,Nyap2
2343,Lrtm2
2344,Pdlim1
2345,Anxa13
2346,Arntl
2347,Sugct
2348,Klf2
2349,Zfp78
2350,Fam72a
2351,Rbm3os
2352,Fev
2353,Sertad3
2354,Zfp935
2355,Pgbd1
2356,Gm9967
2357,Snupn
2358,Nap1l5
2359,Apobec4
2360,Kxd1
2361,Cdca7
2362,B4galnt4
2363,Zfp580
2364,Gpc3
2365,Gm5069
2366,Rras2
2367,Gemin6
2368,Izumo4
2369,Tmem150a
2370,Cldn23
2371,A430033K04Rik
2372,Eif3b
2373,St3gal5
2374,Gm9990
2375,Fez2
2376,Nanos3
2377,Pard6g
2378,Synpr
2379,1810011O10Rik
2380,Actr3b
2381,Taar1
2382,AI987944
2383,Lig1
2384,Rab31
2385,Ccdc18
2386,Zfp658
2387,Trnp1
2388,Ppp1r14b
2389,Prelid2
2390,Gm11696
2391,Elmod3
2392,A930024E05Rik
2393,Capg
2394,Nfil3
2395,Hmga2
2396,Gm10010
2397,Gulp1
2398,Immp2l
2399,Sipa1
2400,Tatdn2
2401,Inca1
2402,C030039L03Rik
2403,Prss2
2404,AB124611
2405,Slc44a2
2406,Mettl15
2407,BC051142
2408,St6galnac2
2409,Zfp759
2410,Zfp53
2411,Rit2
2412,E2f6
2413,Bloc1s2
2414,Dtnbp1
2415,Gm15698
2416,Zfp317
2417,Lmcd1
2418,Gnai1
2419,Mex3b
2420,Xlr3a
2421,Zfp595
2422,Zfp105
2423,Gm10033
2424,Zfp809
2425,E030024N20Rik
2426,Adtrp
2427,Palld
2428,Gstm1
2429,T2
2430,Zfp846
2431,Gm10037
2432,Idi1
2433,Serpina9
2434,Espl1
2435,Ube2e2
2436,Zfp85
2437,Hist1h2bg
2438,Gpr182
2439,Zfp420
2440,Syt17
2441,Wdr91
2442,Gm2531
2443,Cela2a
2444,Fcer1g
2445,Lin9
2446,Zfp958
2447,Hist1h1b
2448,Rsl1
2449,Ntrk3
2450,Pde1a
2451,Skap2
2452,Cdyl
2453,Mamld1
2454,Ppp2r5d
2455,Max
2456,B3gnt8
2457,2610301B20Rik
2458,Tcea2
2459,Reg1
2460,Cdh24
2461,Zfp637
2462,Nrm
2463,Dbp
2464,Zfp341
2465,Zfp930
2466,9430015G10Rik
2467,Ntm
2468,Dhps
2469,Alox5ap
2470,Hist1h4a
2471,BC002059
2472,2610008E11Rik
2473,Bckdha
2474,Zfp128
2475,Chst8
2476,Zfp868
2477,Mfap2
2478,Fhit
2479,Eno3
2480,Hist1h4c
2481,Cd302
2482,Bloc1s4
2483,Acyp2
2484,Hist1h4h
2485,Zfp143
2486,Cyp4f39
2487,Blnk
2488,Zfp873
2489,Acvr2b
2490,Tmem151a
2491,Hist1h2ab
2492,Gdpd1
2493,Tmem91
2494,Cyp2d22
2495,Akr1b10
2496,Armc4
2497,Iah1
2498,Zfp119b
2499,Zfp954
2500,Lhfpl5
2501,Fbxw24
2502,Pvrl2
2503,Rpp25
2504,Erbb2
2505,Gm5453
2506,Nsl1
2507,Syt9
2508,Tubb4a
2509,Ncs1
2510,Zfp677
2511,1810041L15Rik
2512,Zfp599
2513,Tcp11
2514,Acadm
2515,Atp11c
2516,2010204K13Rik
2517,Hist1h2ak
2518,Bbs5
2519,Ldha
2520,Ptpla
2521,Tmem117
2522,1190007I07Rik
2523,3300002I08Rik
2524,B9d2
2525,Nmral1
2526,Zfp773
2527,Jazf1
2528,Sox11
2529,Sp3os
2530,Tnfrsf11b
2531,Gm10136
2532,Slc22a8
2533,Cdc42ep5
2534,Ptcd3
2535,Slco1a5
2536,Gm648
2537,Gm10143
2538,Ipcef1
2539,Vrk2
2540,Hcst
2541,Mocs1
2542,BC068157
2543,Zfp69
2544,Hist1h2bh
2545,Ghrl
2546,Tnnt1
2547,4430402I18Rik
2548,Ifi27
2549,Chil1
2550,Zfp428
2551,Cdpf1
2552,Cntn4
2553,Lrrc51
2554,Snord49b
2555,Gm24564
2556,Snora28
2557,DQ267101
2558,Gm22455
2559,Snora7a
2560,Snora41
2561,Gm26457
2562,Gm23301
2563,Gm23303
2564,Gm25930
2565,Snord45b
2566,Snord14a
2567,Gm25475
2568,Gm26456
2569,Snord35b
2570,Gm25206
2571,Gm24355
2572,Terc
2573,Gm24357
2574,Gm22358
2575,Snord118
2576,Gm22573
2577,Gm22574
2578,Gm22571
2579,Gm22043
2580,Snord73a
2581,Gm23297
2582,Vaultrc5
2583,Snora31
2584,Gm25483
2585,Gm24616
2586,Gm23969
2587,Snora30
2588,Gm23455
2589,Mir186
2590,Mir370
2591,Mir129-1
2592,Mir27b
2593,Mir7b
2594,Mir152
2595,Mir132
2596,Mir153
2597,Mir344
2598,Mir181b-2
2599,Mir425
2600,Mir212
2601,Mir23b
2602,Mir7-2
2603,Mir29a
2604,Mir375
2605,Gm22579
2606,Snord7
2607,Snord49a
2608,Gm24494
2609,Gm23849
2610,Gm22353
2611,Gm25630
2612,Rnu2-10
2613,Med18
2614,Gm1976
2615,E230001N04Rik
2616,2510046G10Rik
2617,6030445D17Rik
2618,Rdh11
2619,Gm6969
2620,Ttc32
2621,Zfp575
2622,Zfp772
2623,Ecsit
2624,Usp51
2625,Gm3695
2626,Capn6
2627,Ppp1r3c
2628,B430203G13Rik
2629,B3galt4
2630,Tspan6
2631,Zfp563
2632,Zfp763
2633,Hist1h4j
2634,Hdac8
2635,Pcna-ps2
2636,Ankrd23
2637,Zfp948
2638,Cenpm
2639,Ndufaf2
2640,Lgals1
2641,Gm6723
2642,Efcc1
2643,Ap5s1
2644,1700019G17Rik
2645,Dok1
2646,Aard
2647,Gm10244
2648,Psrc1
2649,Ptprz1
2650,Il3ra
2651,Col28a1
2652,Hist2h2be
2653,Hist2h2ac
2654,Zfp619
2655,A130006I12Rik
2656,Zfp825
2657,Dusp22
2658,Hist1h3a
2659,Hist1h2bf
2660,Hist1h2ac
2661,Hist1h2ae
2662,Hist1h3e
2663,Hist1h2bj
2664,Hist1h2bp
2665,Gm4925
2666,Tspear
2667,4933406P04Rik
2668,Ube2u
2669,Zfp125
2670,Slfn9
2671,Sat2
2672,Pabpn1l
2673,Spdl1
2674,Hba-a2
2675,Hba-a1
2676,Snora33
2677,Gm25822
2678,Gm13268
2679,Scn2b
2680,Mpzl3
2681,4930581F22Rik
2682,Fbxo47
2683,Gpr179
2684,Il18bp
2685,Serpinh1
2686,9230112E08Rik
2687,Mkrn3
2688,Wfdc16
2689,Fv1
2690,Lrrc8b
2691,Rnf186
2692,Sars2
2693,Gm12942
2694,Cited4
2695,Zscan18
2696,Gm1673
2697,Ccnyl1
2698,Ccdc173
2699,Rasgrp3
2700,Gm10311
2701,1700029J07Rik
2702,Smim15
2703,Wfikkn1
2704,Gm6253
2705,Zfp946
2706,Setdb2
2707,Hist1h2ad
2708,Hist1h2ai
2709,Cpa2
2710,A830039N20Rik
2711,Fam189a2
2712,Rom1
2713,1810009A15Rik
2714,Gng3
2715,Zbtb3
2716,Mpst
2717,Csf2rb
2718,Gspt2
2719,Gm6304
2720,6720489N17Rik
2721,Ccnf
2722,Taf1a
2723,Ppp1r3e
2724,Gm10369
2725,Gm6288
2726,Gm10399
2727,Gm6712
2728,Acrbp
2729,2310040G07Rik
2730,Gm10433
2731,N4bp2os
2732,Noxred1
2733,Acot1
2734,Tmsb15l
2735,Gm10447
2736,Adam4
2737,Oip5
2738,Gm15401
2739,Vamp5
2740,Uprt
2741,Gm8098
2742,Gm7173
2743,Drc1
2744,Zfp449
2745,Gm10478
2746,Gm10479
2747,Ccdc160
2748,2500004C02Rik
2749,Gm14636
2750,Gm10490
2751,Nudt10
2752,Nudt11
2753,A330017A19Rik
2754,Lst1
2755,Ly6g6d
2756,Gm10517
2757,Pappa2
2758,Gm7276
2759,Pcdhb22
2760,Gm10549
2761,Tmem88b
2762,Apitd1
2763,Rsg1
2764,Gm10570
2765,Btbd19
2766,Lrp8os2
2767,Efcab7
2768,Cdkn2b
2769,Gm12542
2770,AA474408
2771,Mob3b
2772,Trim68
2773,Rhog
2774,Ggh
2775,Gm10615
2776,Osgin1
2777,Gm10621
2778,4930513N10Rik
2779,Il4i1
2780,Zfp791
2781,Gm10643
2782,2210011C24Rik
2783,Cox7a1
2784,Zfp382
2785,Ap1ar
2786,Zfp109
2787,Peak1
2788,Tnfaip8l3
2789,AA386476
2790,Ccdc61
2791,AI429214
2792,Gm15441
2793,Zfp872
2794,Spc24
2795,Gm10704
2796,Zfp558
2797,C330013J21Rik
2798,Lekr1
2799,Gm10729
2800,4930518I15Rik
2801,3110070M22Rik
2802,6430550D23Rik
2803,Bpifb4
2804,Tspyl3
2805,Gm21994
2806,Thbd
2807,Ankef1
2808,Hspa12b
2809,Gas2l3
2810,Gm10767
2811,2010315B03Rik
2812,Zfp808
2813,AI606181
2814,Spata5l1
2815,Chst14
2816,Pak6
2817,Gm10800
2818,Gm10801
2819,Hist1h2bb
2820,Ccdc58
2821,Cenpw
2822,Carns1
2823,6030408B16Rik
2824,Smim6
2825,Zbtbd6
2826,1700001L05Rik
2827,Gm5464
2828,Gm10863
2829,Gm17151
2830,Gm12359
2831,Gm11529
2832,B130006D01Rik
2833,Txnrd2
2834,Gm22005
2835,Mir704
2836,Mir539
2837,Gm26384
2838,Mir487b
2839,Mir670
2840,Ass1
2841,Igkc
2842,Mir344c
2843,Gm24119
2844,Gm25613
2845,Snord69
2846,Gm23747
2847,Gm26387
2848,Gm23130
2849,Gm23127
2850,Snord65
2851,Snord91a
2852,Snora68
2853,Gm24888
2854,AF357399
2855,Snord72
2856,Snord19
2857,Gm25062
2858,Gm23913
2859,Gm23912
2860,Gm24557
2861,Mir453
2862,Gm23937
2863,Gm23489
2864,Gm22824
2865,Gm25172
2866,Gm6083
2867,Chml
2868,Gm3550
2869,Airn
2870,Krtap17-1
2871,Krtap16-1
2872,AW011738
2873,AU041133
2874,Ppil6
2875,Plekhn1
2876,Gm13152
2877,Aunip
2878,Gm17068
2879,1810010H24Rik
2880,1700028N14Rik
2881,Zfp566
2882,Rad54b
2883,Zfp541
2884,Igtp
2885,Zfp931
2886,Gm14412
2887,Ak6
2888,Arhgap8
2889,Hsbp1l1
2890,Wdr92
2891,Zfp429
2892,Dnmt3bos
2893,D130040H23Rik
2894,Prox1os
2895,4933413L06Rik
2896,Slc8a3
2897,Kcnip3
2898,Gm14085
2899,Prps1l3
2900,Gm6374
2901,C730034F03Rik
2902,Slco1a6
2903,2310009B15Rik
2904,Rab9
2905,Gm11110
2906,Kcnj13
2907,Gm14966
2908,1700101E01Rik
2909,Gm11131
2910,Kifc1
2911,Haus3
2912,Stard6
2913,Ankrd39
2914,Rab26
2915,Tmem243
2916,Gm17396
2917,Fdx1l
2918,Ulbp1
2919,Gm6592
2920,3110001I22Rik
2921,Xlr4a
2922,Gm5915
2923,Snord98
2924,Snord100
2925,Mir1191
2926,Gm22710
2927,Gm22714
2928,Gm22715
2929,Mir1192
2930,Gm25000
2931,Hist3h2bb-ps
2932,Gm5406
2933,Rps2-ps9
2934,Gm15573
2935,Gm14513
2936,Gm13526
2937,Gm13379
2938,Gm2214
2939,Gm15739
2940,Gm9157
2941,Gm13314
2942,Gm12846
2943,Hist2h3c2
2944,Gm11945
2945,Gm12568
2946,Gm12990
2947,Gm11400
2948,Gm14021
2949,Gm13673
2950,Cox20-ps
2951,Gm13142
2952,Rps27-ps1
2953,Gm15483
2954,Gm13689
2955,Gm13428
2956,Gm15560
2957,Gm13940
2958,Gm15467
2959,Gm13351
2960,Gm16181
2961,Gm15697
2962,Gm11460
2963,Gm12216
2964,Gm8152
2965,Gm14335
2966,Gm13590
2967,Rps11-ps2
2968,Gm12276
2969,Dnajb3
2970,Ywhaq-ps2
2971,Gm12993
2972,Gm14276
2973,Gm13641
2974,Nap1l2
2975,Gm13622
2976,Gm15195
2977,Gm11452
2978,Gm12902
2979,Gm13349
2980,Gm13311
2981,Gm11331
2982,Gm14227
2983,Gm14423
2984,Gm13204
2985,Gm13586
2986,Gm12630
2987,Gm14052
2988,Rps15a-ps6
2989,Gm6044
2990,Gm14201
2991,Gm11969
2992,Gm13688
2993,Gm13315
2994,Gm13868
2995,AA414768
2996,Vcp-rs
2997,Gm11449
2998,Gm15198
2999,Gm14281
3000,Gm14863
3001,Gm13312
3002,Zfp133-ps
3003,Rnf138rt1
3004,Gm14202
3005,Ccnb2-ps
3006,Gm7180
3007,Gm12728
3008,Gm13369
3009,Gm13800
3010,Gm13033
3011,Gm15712
3012,2210015D19Rik
3013,Gm13831
3014,Gm12034
3015,Gm14049
3016,Esrp2
3017,Gm15644
3018,Gm11599
3019,Gm13988
3020,Gm15666
3021,Rps15a-ps8
3022,Gm11510
3023,Gm22107
3024,Mir1898
3025,Gm22345
3026,Gm22205
3027,Gm23887
3028,Gm12406
3029,A230072E10Rik
3030,Gm15473
3031,Gm16741
3032,1700056N10Rik
3033,5830444B04Rik
3034,9430091E24Rik
3035,Gm11967
3036,4930565N06Rik
3037,Gm12352
3038,Gm14097
3039,Gm11468
3040,A730011C13Rik
3041,A930006K02Rik
3042,3010001F23Rik
3043,Gm12958
3044,Gm15344
3045,Gm281
3046,Gm16185
3047,Gm17477
3048,1810062O18Rik
3049,Gm16035
3050,Gm15594
3051,Gm5577
3052,B430010I23Rik
3053,Gm11789
3054,Gm16135
3055,Rapgef4os2
3056,Pip5k1bos
3057,Gm11549
3058,Gm11335
3059,Gm5860
3060,2810455O05Rik
3061,Gm11646
3062,Gm12031
3063,Parvaos
3064,Gm15834
3065,Gm16024
3066,Gm13111
3067,Ict1os
3068,1700049E15Rik
3069,Rptoros
3070,4930570G19Rik
3071,1700086P04Rik
3072,Gm13528
3073,Gm16288
3074,A530072M11Rik
3075,Gm2735
3076,Gm11659
3077,Mir22hg
3078,C130046K22Rik
3079,Gm11974
3080,Gm14264
3081,Gm12089
3082,Gm11423
3083,Gm13645
3084,4933439K11Rik
3085,Gm11963
3086,Gm12195
3087,Nr6a1os
3088,Gm15327
3089,Gm11767
3090,Brip1os
3091,Gm13091
3092,BB218582
3093,Gm11672
3094,Gm15893
3095,Gm15234
3096,Med9os
3097,Nell1os
3098,Gm15812
3099,Gm15663
3100,Gm15445
3101,Gm14261
3102,Gm13684
3103,Gm14508
3104,Gm13115
3105,Gm13524
3106,Gm16001
3107,Zfp335os
3108,1700047A11Rik
3109,Sorbs2os
3110,Gm3362
3111,Gm16348
3112,1110046J04Rik
3113,4930527E20Rik
3114,Gm15713
3115,Gm11772
3116,Gm15535
3117,Gm15418
3118,Gm15485
3119,Gm12786
3120,Gm15676
3121,A430078I02Rik
3122,Gm11346
3123,1700016P03Rik
3124,1700123M08Rik
3125,3110056K07Rik
3126,Bloc1s6os
3127,Gm15952
3128,Gm15718
3129,Gm14817
3130,Gm16349
3131,4930469K13Rik
3132,Gm16153
3133,4921531C22Rik
3134,Gm15915
3135,Mettl5os
3136,D630024D03Rik
3137,5430402O13Rik
3138,Gm15640
3139,Lin52
3140,Gm15843
3141,Ube4bos1
3142,Gm15638
3143,Gm15597
3144,Gm14540
3145,Gm12750
3146,Gm12409
3147,2610507I01Rik
3148,Gm14634
3149,Gm15832
3150,Gm12781
3151,Gm12299
3152,Gm13421
